Job ID,Job Role,Disability,Skills Required,Work Mode,Salary (INR),Workplace Accessibility,Workplace Location
154,Data Analyst,Neurological Disorder,"Adobe Photoshop, Illustrator",On-site,792786,Remote Work Possible,Chennai
155,Teacher,Chronic Pain Condition,"Communication, Problem-Solving",Hybrid,1075286,Flexible Hours,Chennai
156,Data Analyst,Learning Disability,"Communication, Problem-Solving",Hybrid,1395314,Quiet Workspace,Kolkata
157,Project Manager,Motor Coordination Disorder,"Excel, Power BI",On-site,897577,Assistive Technology,Hyderabad
158,Software Engineer,Learning Disability,"Communication, Problem-Solving",Remote,697009,Quiet Workspace,Jaipur
159,Content Writer,Autism Spectrum Disorder,"SEO, Social Media Marketing",On-site,1241253,Sign Language Interpreter,Hyderabad
160,Cybersecurity Analyst,Learning Disability,"SEO, Social Media Marketing",On-site,415597,Assistive Technology,Chennai
161,Teacher,Mental Health Condition,"Communication, Problem-Solving",Hybrid,455801,Sign Language Interpreter,Chennai
162,Data Analyst,Physical Disability,"SEO, Social Media Marketing",Hybrid,1245530,Remote Work Possible,Pune
163,Data Analyst,Physical Disability,"Networking, Security",On-site,894993,Wheelchair Access,Jaipur
164,Cybersecurity Analyst,Cognitive Impairment,"Python, SQL",Remote,1059871,Assistive Technology,Delhi
165,Customer Support,Physical Disability,"Communication, Problem-Solving",Remote,381392,Flexible Hours,Bangalore
166,HR Executive,Cognitive Impairment,"SEO, Social Media Marketing",Hybrid,1436933,Flexible Hours,Ahmedabad
167,Graphic Designer,Cognitive Impairment,"Adobe Photoshop, Illustrator",Hybrid,355398,Assistive Technology,Delhi
168,Data Analyst,Attention Deficit Hyperactivity Disorder,"SEO, Social Media Marketing",On-site,1423191,Remote Work Possible,Hyderabad
169,Teacher,Cognitive Impairment,"Writing, Editing",Remote,370254,Assistive Technology,Ahmedabad
170,Customer Support,Mental Health Condition,"Excel, Power BI",Remote,1210096,Quiet Workspace,Hyderabad
171,Data Analyst,Cognitive Impairment,"Agile, Scrum",On-site,796007,Braille Support,Chennai
172,Content Writer,Physical Disability,"Communication, Problem-Solving",Hybrid,343434,Remote Work Possible,Hyderabad
173,Graphic Designer,Hearing Impairment,"Adobe Photoshop, Illustrator",Remote,1350401,Assistive Technology,Chennai
174,HR Executive,Neurological Disorder,"Communication, Problem-Solving",Hybrid,1236154,Flexible Hours,Jaipur
175,Project Manager,Hearing Impairment,"Recruitment, Employee Relations",Hybrid,1222754,Voice-to-Text Software,Jaipur
176,Software Engineer,Physical Disability,"Excel, Power BI",Remote,668839,Flexible Hours,Lucknow
177,Project Manager,Learning Disability,"Recruitment, Employee Relations",On-site,713406,Sign Language Interpreter,Hyderabad
178,Software Engineer,Neurological Disorder,"Agile, Scrum",Remote,1004424,Braille Support,Kolkata
179,Graphic Designer,Mental Health Condition,"Recruitment, Employee Relations",On-site,577133,Sign Language Interpreter,Kolkata
180,Content Writer,Learning Disability,"Recruitment, Employee Relations",Remote,1451714,Assistive Technology,Jaipur
181,Cybersecurity Analyst,Visual Impairment,"Recruitment, Employee Relations",On-site,842971,Voice-to-Text Software,Jaipur
182,Teacher,Chronic Illness,"Python, SQL",Hybrid,962155,Assistive Technology,Lucknow
183,Content Writer,Mental Health Condition,"Python, SQL",Remote,623582,Flexible Hours,Ahmedabad
184,Graphic Designer,Hearing Impairment,"Recruitment, Employee Relations",Remote,807516,Assistive Technology,Ahmedabad
185,Project Manager,Chronic Pain Condition,"Python, SQL",Hybrid,938640,Voice-to-Text Software,Kolkata
186,Content Writer,Chronic Pain Condition,"Adobe Photoshop, Illustrator",On-site,322614,Quiet Workspace,Lucknow
187,Project Manager,Visual Impairment,"Adobe Photoshop, Illustrator",Remote,783118,Braille Support,Pune
188,Project Manager,Mental Health Condition,"SEO, Social Media Marketing",On-site,1186022,Assistive Technology,Kolkata
189,Customer Support,Autism Spectrum Disorder,"Recruitment, Employee Relations",Hybrid,1167178,Braille Support,Ahmedabad
190,Cybersecurity Analyst,Cognitive Impairment,"Networking, Security",On-site,897196,Assistive Technology,Mumbai
191,Project Manager,Hearing Impairment,"Teaching, Curriculum Planning",Hybrid,1087634,Braille Support,Jaipur
192,Marketing Manager,Autism Spectrum Disorder,"Recruitment, Employee Relations",Hybrid,925983,Flexible Hours,Hyderabad
193,Marketing Manager,Chronic Illness,"Adobe Photoshop, Illustrator",Remote,1256781,Braille Support,Lucknow
194,Content Writer,Physical Disability,"Adobe Photoshop, Illustrator",Remote,869605,Remote Work Possible,Ahmedabad
195,Software Engineer,Cognitive Impairment,"Recruitment, Employee Relations",On-site,686157,Braille Support,Mumbai
196,Data Analyst,Attention Deficit Hyperactivity Disorder,"Python, SQL",Hybrid,1089010,Sign Language Interpreter,Chennai
197,Teacher,Chronic Illness,"Networking, Security",Hybrid,1229719,Remote Work Possible,Ahmedabad
198,HR Executive,Motor Coordination Disorder,"Teaching, Curriculum Planning",On-site,1432374,Quiet Workspace,Delhi
199,Content Writer,Learning Disability,"Agile, Scrum",Remote,618745,Remote Work Possible,Delhi
200,Customer Support,Learning Disability,"Recruitment, Employee Relations",Remote,978266,Assistive Technology,Pune
201,Marketing Manager,Visual Impairment,"Networking, Security",Remote,789299,Remote Work Possible,Chennai
202,Marketing Manager,Motor Coordination Disorder,"Communication, Problem-Solving",Remote,769387,Voice-to-Text Software,Mumbai
203,Software Engineer,Chronic Illness,"Writing, Editing",On-site,382858,Voice-to-Text Software,Bangalore
204,Software Engineer,Chronic Illness,"SEO, Social Media Marketing",Remote,1123836,Wheelchair Access,Bangalore
205,Cybersecurity Analyst,Speech Impairment,"Adobe Photoshop, Illustrator",Hybrid,386013,Assistive Technology,Mumbai
206,HR Executive,Visual Impairment,"Communication, Problem-Solving",Remote,860392,Voice-to-Text Software,Chennai
207,Graphic Designer,Cognitive Impairment,"Writing, Editing",On-site,455459,Remote Work Possible,Chennai
208,Customer Support,Autism Spectrum Disorder,"Recruitment, Employee Relations",On-site,1311165,Remote Work Possible,Jaipur
209,HR Executive,Chronic Illness,"Adobe Photoshop, Illustrator",On-site,1091378,Voice-to-Text Software,Lucknow
210,Marketing Manager,Learning Disability,"Teaching, Curriculum Planning",On-site,889968,Remote Work Possible,Mumbai
211,HR Executive,Autism Spectrum Disorder,"Writing, Editing",Hybrid,1290723,Assistive Technology,Chennai
212,Software Engineer,Chronic Pain Condition,"Teaching, Curriculum Planning",Hybrid,470675,Braille Support,Kolkata
213,Graphic Designer,Neurological Disorder,"Recruitment, Employee Relations",Remote,1253374,Voice-to-Text Software,Ahmedabad
214,Content Writer,Physical Disability,"Writing, Editing",On-site,985156,Quiet Workspace,Hyderabad
215,Marketing Manager,Physical Disability,"Networking, Security",Remote,774876,Quiet Workspace,Kolkata
216,Cybersecurity Analyst,Physical Disability,"Agile, Scrum",Remote,488107,Remote Work Possible,Mumbai
217,Marketing Manager,Chronic Pain Condition,"Agile, Scrum",Hybrid,564776,Sign Language Interpreter,Kolkata
218,Cybersecurity Analyst,Visual Impairment,"Recruitment, Employee Relations",Hybrid,773918,Assistive Technology,Bangalore
219,Graphic Designer,Physical Disability,"Adobe Photoshop, Illustrator",On-site,598234,Voice-to-Text Software,Chennai
220,HR Executive,Mental Health Condition,"Networking, Security",Remote,1171786,Sign Language Interpreter,Chennai
221,HR Executive,Neurological Disorder,"Recruitment, Employee Relations",On-site,1139972,Wheelchair Access,Bangalore
222,Content Writer,Physical Disability,"Adobe Photoshop, Illustrator",Hybrid,658197,Sign Language Interpreter,Mumbai
223,Content Writer,Speech Impairment,"Adobe Photoshop, Illustrator",On-site,623529,Assistive Technology,Chennai
224,Cybersecurity Analyst,Motor Coordination Disorder,"Writing, Editing",On-site,1347183,Voice-to-Text Software,Ahmedabad
225,Project Manager,Motor Coordination Disorder,"Writing, Editing",Remote,814735,Flexible Hours,Lucknow
226,Software Engineer,Speech Impairment,"Teaching, Curriculum Planning",On-site,770691,Remote Work Possible,Ahmedabad
227,Teacher,Chronic Pain Condition,"Recruitment, Employee Relations",Hybrid,901866,Quiet Workspace,Kolkata
228,Cybersecurity Analyst,Chronic Illness,"Recruitment, Employee Relations",Remote,515248,Assistive Technology,Bangalore
229,Graphic Designer,Chronic Pain Condition,"Writing, Editing",Hybrid,479663,Braille Support,Pune
230,Data Analyst,Visual Impairment,"Agile, Scrum",On-site,508600,Braille Support,Chennai
231,Marketing Manager,Chronic Illness,"Writing, Editing",Hybrid,550390,Braille Support,Lucknow
232,Data Analyst,Autism Spectrum Disorder,"Networking, Security",On-site,522951,Flexible Hours,Hyderabad
233,Software Engineer,Hearing Impairment,"SEO, Social Media Marketing",Hybrid,374330,Wheelchair Access,Kolkata
234,Teacher,Cognitive Impairment,"Recruitment, Employee Relations",Hybrid,1044683,Quiet Workspace,Pune
235,Customer Support,Motor Coordination Disorder,"Excel, Power BI",Hybrid,824043,Quiet Workspace,Delhi
236,Data Analyst,Speech Impairment,"Networking, Security",On-site,1379494,Wheelchair Access,Chennai
237,Graphic Designer,Attention Deficit Hyperactivity Disorder,"Adobe Photoshop, Illustrator",Remote,841431,Wheelchair Access,Pune
238,Project Manager,Hearing Impairment,"Agile, Scrum",On-site,960929,Sign Language Interpreter,Delhi
239,Graphic Designer,Chronic Pain Condition,"Adobe Photoshop, Illustrator",Hybrid,1193183,Remote Work Possible,Lucknow
240,Content Writer,Cognitive Impairment,"SEO, Social Media Marketing",Remote,1234448,Voice-to-Text Software,Jaipur
241,Teacher,Neurological Disorder,"Adobe Photoshop, Illustrator",On-site,1131852,Sign Language Interpreter,Chennai
242,Content Writer,Physical Disability,"Writing, Editing",Remote,574339,Quiet Workspace,Jaipur
243,Customer Support,Cognitive Impairment,"Communication, Problem-Solving",Hybrid,729978,Sign Language Interpreter,Chennai
244,Project Manager,Motor Coordination Disorder,"Adobe Photoshop, Illustrator",On-site,870951,Voice-to-Text Software,Kolkata
245,Data Analyst,Neurological Disorder,"SEO, Social Media Marketing",On-site,779296,Quiet Workspace,Jaipur
246,Marketing Manager,Hearing Impairment,"Teaching, Curriculum Planning",On-site,899088,Quiet Workspace,Hyderabad
247,Teacher,Cognitive Impairment,"Python, SQL",Remote,1339389,Remote Work Possible,Ahmedabad
248,Content Writer,Speech Impairment,"Agile, Scrum",Hybrid,440997,Wheelchair Access,Pune
249,Data Analyst,Learning Disability,"Writing, Editing",Hybrid,623122,Assistive Technology,Jaipur
250,HR Executive,Autism Spectrum Disorder,"Writing, Editing",On-site,949268,Wheelchair Access,Ahmedabad
251,Cybersecurity Analyst,Neurological Disorder,"Teaching, Curriculum Planning",On-site,647086,Remote Work Possible,Hyderabad
252,Software Engineer,Visual Impairment,"Excel, Power BI",Hybrid,796102,Wheelchair Access,Delhi
253,Marketing Manager,Hearing Impairment,"Networking, Security",Remote,1160296,Sign Language Interpreter,Bangalore
254,Content Writer,Attention Deficit Hyperactivity Disorder,"Communication, Problem-Solving",On-site,1336925,Quiet Workspace,Bangalore
255,Graphic Designer,Chronic Illness,"Writing, Editing",Hybrid,617566,Wheelchair Access,Bangalore
256,Project Manager,Chronic Illness,"SEO, Social Media Marketing",Hybrid,322776,Remote Work Possible,Jaipur
257,Customer Support,Chronic Pain Condition,"Teaching, Curriculum Planning",Remote,1356112,Flexible Hours,Ahmedabad
258,Customer Support,Cognitive Impairment,"Recruitment, Employee Relations",Remote,1165038,Remote Work Possible,Pune
